age_part,sex_part,age_cnt,sex_cnt,y,n,y_grp,s,m
0,M,0,M,0.0,8.0,5.0,1.0,0.0
0,M,0,F,0.0,8.0,5.0,1.0,0.0
0,M,1,M,0.0,8.0,5.0,1.0,0.0
0,M,1,F,1.0,8.0,5.0,0.16666666666666666,0.75
0,M,2,M,3.0,8.0,5.0,0.375,1.0
0,M,2,F,0.0,8.0,5.0,1.0,0.0
0,M,3,M,0.0,8.0,5.0,1.0,0.0
0,M,3,F,0.0,8.0,5.0,1.0,0.0
0,M,4,M,0.0,8.0,5.0,1.0,0.0
0,M,4,F,0.0,8.0,5.0,1.0,0.0
0,M,5,M,1.0,8.0,5.0,0.16666666666666666,0.75
0,M,5,F,0.0,8.0,5.0,1.0,0.0
0,M,6,M,2.0,8.0,5.0,0.2857142857142857,0.875
0,M,6,F,0.0,8.0,5.0,1.0,0.0
0,M,7,M,1.0,8.0,5.0,0.16666666666666666,0.75
0,M,7,F,0.0,8.0,5.0,1.0,0.0
0,M,8,M,1.0,8.0,5.0,0.16666666666666666,0.75
0,M,8,F,0.0,8.0,5.0,1.0,0.0
0,M,9,M,1.0,8.0,5.0,0.16666666666666666,0.75
0,M,9,F,0.0,8.0,5.0,1.0,0.0
0,M,10,M,1.0,8.0,5.0,0.16666666666666666,0.75
0,M,10,F,0.0,8.0,5.0,1.0,0.0
0,M,11,M,0.0,8.0,5.0,1.0,0.0
0,M,11,F,0.0,8.0,5.0,1.0,0.0
0,M,12,M,0.0,8.0,5.0,1.0,0.0
0,M,12,F,0.0,8.0,5.0,1.0,0.0
0,M,13,M,0.0,8.0,5.0,1.0,0.0
0,M,13,F,1.0,8.0,5.0,0.16666666666666666,0.75
0,M,14,M,0.0,8.0,5.0,1.0,0.0
0,M,14,F,0.0,8.0,5.0,1.0,0.0
0,M,15,M,0.0,8.0,5.0,1.0,0.0
0,M,15,F,0.0,8.0,5.0,1.0,0.0
0,M,16,M,0.0,8.0,5.0,1.0,0.0
0,M,16,F,0.0,8.0,5.0,1.0,0.0
0,M,17,M,0.0,8.0,5.0,1.0,0.0
0,M,17,F,0.0,8.0,5.0,1.0,0.0
0,M,18,M,0.0,8.0,5.0,1.0,0.0
0,M,18,F,0.0,8.0,5.0,1.0,0.0
0,M,19,M,0.0,8.0,5.0,1.0,0.0
0,M,19,F,0.0,8.0,5.0,1.0,0.0
0,M,20,M,0.0,8.0,5.0,1.0,0.0
0,M,20,F,1.0,8.0,5.0,0.16666666666666666,0.75
0,M,21,M,0.0,8.0,5.0,1.0,0.0
0,M,21,F,1.0,8.0,5.0,0.16666666666666666,0.75
0,M,22,M,1.0,8.0,5.0,0.16666666666666666,0.75
0,M,22,F,0.0,8.0,5.0,1.0,0.0
0,M,23,M,0.0,8.0,5.0,1.0,0.0
0,M,23,F,1.0,8.0,5.0,0.16666666666666666,0.75
0,M,24,M,0.0,8.0,5.0,1.0,0.0
0,M,24,F,0.0,8.0,5.0,1.0,0.0
0,M,25,M,0.0,8.0,5.0,1.0,0.0
0,M,25,F,0.0,8.0,5.0,1.0,0.0
0,M,26,M,0.0,8.0,5.0,1.0,0.0
0,M,26,F,1.0,8.0,5.0,0.16666666666666666,0.75
0,M,27,M,0.0,8.0,5.0,1.0,0.0
0,M,27,F,1.0,8.0,5.0,0.16666666666666666,0.75
0,M,28,M,0.0,8.0,5.0,1.0,0.0
0,M,28,F,2.0,8.0,5.0,0.2857142857142857,0.875
0,M,29,M,1.0,8.0,5.0,0.16666666666666666,0.75
0,M,29,F,0.0,8.0,5.0,1.0,0.0
0,M,30,M,1.0,8.0,5.0,0.16666666666666666,0.75
0,M,30,F,2.0,8.0,5.0,0.2857142857142857,0.875
0,M,31,M,1.0,8.0,5.0,0.16666666666666666,0.75
0,M,31,F,0.0,8.0,5.0,1.0,0.0
0,M,32,M,1.0,8.0,5.0,0.16666666666666666,0.75
0,M,32,F,1.0,8.0,5.0,0.16666666666666666,0.75
0,M,33,M,0.0,8.0,5.0,1.0,0.0
0,M,33,F,1.0,8.0,5.0,0.16666666666666666,0.75
0,M,34,M,0.0,8.0,5.0,1.0,0.0
0,M,34,F,0.0,8.0,5.0,1.0,0.0
0,M,35,M,0.0,8.0,5.0,1.0,0.0
0,M,35,F,1.0,8.0,5.0,0.16666666666666666,0.75
0,M,36,M,0.0,8.0,5.0,1.0,0.0
0,M,36,F,0.0,8.0,5.0,1.0,0.0
0,M,37,M,2.0,8.0,5.0,0.2857142857142857,0.875
0,M,37,F,1.0,8.0,5.0,0.16666666666666666,0.75
