id,country,global_id,local_id,type,day,month,year,dayofweek,participant_age,participant_gender,participant_occupation,participant_occ_detail,participant_education,participant_edu_length,participant_school_year,participant_nationality,hh_size,hh_age_1,hh_age_2,hh_age_3,hh_age_4,hh_age_5,hh_age_6,hh_age_7,hh_age_8,hh_age_9,hh_age_10,hh_age_11,hh_age_12,hh_age_13,hh_age_14,hh_age_15,hh_age_16,hh_age_17,hh_age_18,hh_age_19,hh_age_20,class_size,work_contacts,work_contacts_nr,child_care,child_care_detail,child_relationship,child_nationality,problems,diary_how,diary_missed_unsp,diary_missed_skin,diary_missed_noskin,cnt_count,diary_weight
1,DE,846,10648100,3,16,1,2006,1,10,F,5,5,2,12,NA,,4,10,13,40,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,,NA,Y,NA,1,,,1,NA,NA,NA,7,0.68
2,DE,847,10586300,3,16,1,2006,1,8,M,5,5,8,10,NA,,4,8,12,38,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,,NA,Y,NA,2,,,1,NA,NA,NA,6,1.02
3,DE,848,10752100,3,16,1,2006,1,7,F,5,7,2,12,NA,,7,7,10,17,18,37,49,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,,NA,Y,NA,1,,,NA,NA,NA,NA,16,1.06
4,DE,849,10752200,3,16,1,2006,1,12,F,5,7,2,12,NA,,3,12,37,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,,NA,Y,NA,1,,,NA,NA,NA,NA,9,0.43
5,DE,850,10687200,3,16,1,2006,1,1,F,6,7,8,10,NA,,4,1,13,34,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,N,NA,1,,,1,NA,NA,NA,5,0.88
6,DE,851,20277900,3,14,6,2006,3,4,F,5,7,1,10,NA,,3,4,28,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,,NA,Y,NA,1,,,1,NA,NA,NA,3,0.43
7,DE,852,20282700,3,15,6,2006,4,20,F,5,7,6,18,NA,,3,20,55,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,,NA,Y,NA,2,,,NA,NA,NA,NA,5,0.61
8,DE,853,10762000,3,21,1,2006,6,12,M,6,7,1,10,NA,,3,12,20,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,N,NA,2,,,NA,NA,NA,NA,3,0.43
9,DE,854,20506900,3,4,7,2006,2,20,F,NA,NA,3,13,NA,,4,20,23,47,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,,,1,NA,NA,NA,5,0.98
10,DE,855,10762200,3,21,1,2006,6,19,M,6,8,8,10,NA,,3,19,45,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,N,NA,2,,,NA,NA,NA,NA,3,0.34
