part_id,hh_id,part_age,part_gender
3377,Mo08HH3377,42.0,F
4517,Mo08HH4517,5.0,M
4518,Mo08HH4518,5.0,F
4519,Mo08HH4519,6.0,F
4520,Mo08HH4520,3.0,F
4521,Mo08HH4521,2.0,M
4522,Mo08HH4522,4.0,M
4523,Mo08HH4523,6.0,M
4524,Mo08HH4524,7.0,F
4525,Mo08HH4525,4.0,F
4526,Mo08HH4526,2.0,M
4527,Mo08HH4527,3.0,M
4528,Mo08HH4528,4.0,M
4529,Mo08HH4529,3.0,M
4530,Mo08HH4530,3.0,F
4531,Mo08HH4531,6.0,F
4532,Mo08HH4532,7.0,M
4533,Mo08HH4533,6.0,F
4534,Mo08HH4534,3.0,F
4535,Mo08HH4535,3.0,M
4536,Mo08HH4536,0.0,F
4537,Mo08HH4537,3.0,M
4538,Mo08HH4538,0.0,F
4539,Mo08HH4539,1.0,M
4540,Mo08HH4540,0.0,F
4541,Mo08HH4541,0.0,F
4542,Mo08HH4542,0.0,F
4543,Mo08HH4543,4.0,M
4544,Mo08HH4544,3.0,F
4545,Mo08HH4545,1.0,F
4546,Mo08HH4546,0.0,M
4547,Mo08HH4547,1.0,M
4548,Mo08HH4548,6.0,F
4549,Mo08HH4549,5.0,M
4550,Mo08HH4550,1.0,M
4551,Mo08HH4551,4.0,F
4552,Mo08HH4552,5.0,M
4553,Mo08HH4553,4.0,F
4554,Mo08HH4554,4.0,M
4555,Mo08HH4555,1.0,M
4556,Mo08HH4556,0.0,F
4557,Mo08HH4557,0.0,M
4558,Mo08HH4558,3.0,F
4559,Mo08HH4559,1.0,M
4560,Mo08HH4560,3.0,F
4561,Mo08HH4561,7.0,M
4562,Mo08HH4562,5.0,F
4564,Mo08HH4564,6.0,M
4565,Mo08HH4565,2.0,M
4566,Mo08HH4566,3.0,F
4567,Mo08HH4567,0.0,F
4568,Mo08HH4568,6.0,F
4569,Mo08HH4569,6.0,M
4570,Mo08HH4570,7.0,M
4571,Mo08HH4571,6.0,F
4572,Mo08HH4572,6.0,M
4573,Mo08HH4573,6.0,M
4574,Mo08HH4574,5.0,F
4575,Mo08HH4575,4.0,F
4576,Mo08HH4576,4.0,M
4577,Mo08HH4577,4.0,F
4578,Mo08HH4578,3.0,F
4579,Mo08HH4579,2.0,M
4580,Mo08HH4580,0.0,M
4581,Mo08HH4581,3.0,F
4582,Mo08HH4582,1.0,F
4583,Mo08HH4583,7.0,M
4584,Mo08HH4584,6.0,F
4585,Mo08HH4585,4.0,F
4587,Mo08HH4587,4.0,M
4588,Mo08HH4588,1.0,F
4589,Mo08HH4589,3.0,M
4590,Mo08HH4590,6.0,F
4591,Mo08HH4591,7.0,M
4592,Mo08HH4592,5.0,F
4593,Mo08HH4593,5.0,M
