part_id,type,part_occupation,part_occupation_detail,part_education,part_education_length,participant_school_year,participant_nationality,child_care,child_care_detail,child_relationship,child_nationality,problems,diary_how,diary_missed_unsp,diary_missed_skin,diary_missed_noskin
3377,1,1.0,,3.0,,,UK,,,,,N,1.0,3.0,,
4517,3,5.0,4.0,4.0,13.0,,UK,Y,,1.0,UK,,,1.0,1.0,1.0
4518,3,5.0,,4.0,13.0,,UK,Y,,1.0,UK,,,3.0,1.0,3.0
4519,3,5.0,2.0,4.0,13.0,,UK,Y,,1.0,UK,,,1.0,1.0,1.0
4520,3,5.0,4.0,4.0,13.0,,UK,Y,,1.0,UK,,,1.0,1.0,1.0
4521,3,5.0,3.0,4.0,13.0,,UK,Y,,2.0,UK,,,1.0,1.0,1.0
4522,3,5.0,1.0,4.0,13.0,,UK,Y,,1.0,UK,,,1.0,1.0,1.0
4523,3,5.0,,4.0,13.0,,UK,Y,,1.0,UK,,,1.0,1.0,1.0
4524,3,5.0,1.0,4.0,13.0,,UK,Y,,2.0,UK,,,1.0,1.0,1.0
4525,3,5.0,,4.0,13.0,,UK,Y,,1.0,UK,,,1.0,1.0,1.0
4526,3,6.0,,4.0,13.0,,UK,N,,1.0,UK,,,1.0,1.0,1.0
4527,3,5.0,,,,,UK,Y,,1.0,UK,,,1.0,1.0,1.0
4528,3,5.0,4.0,4.0,13.0,,UK,Y,,1.0,UK,,,1.0,1.0,1.0
4529,3,6.0,,4.0,13.0,,UK,N,,1.0,UK,,,1.0,1.0,1.0
4530,3,6.0,,4.0,13.0,,UK,N,,1.0,UK,,,1.0,1.0,1.0
4531,3,6.0,2.0,4.0,13.0,,UK,N,,1.0,UK,,,4.0,1.0,4.0
4532,3,6.0,2.0,4.0,13.0,,UK,N,,1.0,UK,,,4.0,1.0,4.0
4533,3,6.0,4.0,4.0,13.0,,UK,N,,1.0,UK,,,4.0,1.0,4.0
4534,3,5.0,,4.0,13.0,,UK,Y,,1.0,UK,,,4.0,1.0,4.0
4535,3,5.0,,5.0,16.0,,UK,Y,,1.0,UK,,,1.0,1.0,1.0
4536,3,6.0,2.0,4.0,13.0,,UK,N,,1.0,UK,,,4.0,1.0,4.0
4537,3,5.0,1.0,4.0,13.0,,UK,Y,,1.0,UK,,,1.0,1.0,1.0
4538,3,6.0,2.0,4.0,13.0,,UK,N,,1.0,UK,,,1.0,1.0,1.0
4539,3,6.0,1.0,5.0,16.0,,UK,N,,1.0,UK,,,1.0,1.0,1.0
4540,3,6.0,1.0,6.0,18.0,,UK,N,,1.0,UK,,,1.0,1.0,1.0
4541,3,6.0,1.0,6.0,18.0,,UK,N,,1.0,UK,,,1.0,1.0,1.0
4542,3,5.0,4.0,4.0,13.0,,UK,Y,,1.0,UK,,,1.0,1.0,1.0
4543,3,5.0,2.0,4.0,13.0,,UK,Y,,1.0,UK,,,1.0,1.0,1.0
4544,3,5.0,2.0,4.0,13.0,,UK,Y,,1.0,UK,,,1.0,1.0,1.0
