age,Male,Female
0,409580,390106
1,403912,385998
2,399930,382279
3,404523,385930
4,391667,372956
5,383111,366267
6,368248,351340
7,361924,344955
8,351669,334365
9,345654,329167
10,354100,339048
11,365394,346840
12,376524,358569
13,381599,363614
14,392835,374099
15,395133,371544
16,394082,373732
17,408483,387003
18,409760,393550
19,424096,415610
20,442154,423891
21,436928,418453
22,431718,423010
23,436069,434139
24,423165,429936
25,433531,430890
26,435689,434445
27,425126,427294
28,428262,433973
29,428925,436106
30,434468,439051
31,436318,439370
32,420578,420458
33,392479,392630
34,387494,386014
35,393012,395571
36,400161,403845
37,406697,411842
38,425323,430362
39,443860,449741
40,455459,468191
41,445586,456966
42,456783,469434
43,457484,469357
44,466094,474193
45,463686,476570
46,468213,480677
47,464223,476378
48,456079,466410
49,447778,455551
50,433173,440842
51,416388,423843
52,407779,415362
53,399278,406193
54,384708,392445
55,372187,378976
56,358149,366310
57,359232,368363
58,355330,363886
59,344537,355428
60,347508,358822
61,353665,367560
62,363730,376850
63,382951,398568
64,415577,432033
65,321178,336197
66,311199,328008
67,311420,328059
68,289369,309628
69,258169,280193
70,232241,255756
71,240410,265689
72,237351,265109
73,230545,258902
74,217713,249269
75,205743,240152
76,194943,230838
77,178995,217548
78,168328,210464
79,162073,208013
80,151412,201865
81,137671,192095
82,123344,177177
83,109283,163354
84,98834,152191
85,87567,141960
86,74967,129572
87,64219,118264
88,53899,106984
89,46501,97634
90+,130127,355764
